comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
"Je ne suis pas sûre qu'il faille baisser les impôts mais plutôt répartir les budgets de façon plus juste pour éviter les désert : Médical, Judiciaire, bref la perte de tous nos services publics de proximité","aucun, mais réparti équitablement",3274,0.32390185991294024,1.6864713311145378,-0.8153941789819856,20.124828,-25.151302,-7.589372038841248,-6.1321190148591995
"Ce n'est pas une question de niveau d'imposition, mais de l'emploi de l'impôt.","aucun, mais réparti équitablement",3274,0.32390185991294024,-1.2929590977259935,0.13323923478267813,14.13519,-13.88859,-8.150671243667603,-5.806665763258934
"Sommes-nous fiers d'être le pays le plus taxé au monde ? Personnellement, je trouve cette image très mauvaise pour la France. Je connais beaucoup de jeunes gens talentueux qui envisagent de quitter la France pour apporter leurs compétences ailleurs, c'est dommage.","aucun, mais réparti équitablement",3274,0.32390185991294024,-1.3721554026440592,0.4711379697614494,14.87943,-5.0023255,-7.942084074020386,-6.494883835315704
aucun à conditions qu'ils soient justes et equitables,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.19219468683129295,-0.16121889927763927,-3.8975859,-26.498184,-9.37605133652687,-5.8800584971904755
Voir ci-dessus,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.08296493948356061,0.08628968568397855,32.030827,-17.206274,-7.762473225593567,-7.639701008796692
Mauvaise question. Il faut baisser les dépenses afin que l'ensemble de la pression fiscale devenue insupportable pour tous baisse.,"aucun, mais réparti équitablement",3274,0.32390185991294024,-0.5071347602644495,0.23446077718192562,2.476489,-11.024018,-8.22937822341919,-5.958175227046013
"Il faut créer un impôt vertueux. Dès que c'est bon pour la planète ça doit être moins cher. Un frigo A+++ ne devrait pas être taxé et l'état devrait le financer à taux 0 (acheter de la dette) pas d'impôts locaux sur les habitations à énergie positive. Moins de taxes sur le diesel ""propre""","aucun, mais réparti équitablement",3274,0.32390185991294024,-0.20952698837253503,-0.1316942304628468,-4.6692767,-14.636088,-8.993939117528498,-6.037369854748249
"A part la TVA, je ne vois pas  - par contre indiquer chaque année et ce, à chaque citoyen, le montant de ses dépenses de santé (pharmacie - hospitalisation ) - dentaires avec en parallèle le montant de cotisations je pense que cela ferait réfléchir","aucun, mais réparti équitablement",3274,0.32390185991294024,-0.40739555186604,1.2318505756508642,18.354784,-20.74307,-7.746817469596863,-6.513907074928284
La taxe pour l'audio-visuel est un exemple de l'argent qu'on paye obligatoirement sans contrepartie d'un service de qualité.,"aucun, mais réparti équitablement",3274,0.32390185991294024,-0.1256684107834666,0.13607409768961168,5.5672836,-12.502212,-8.544377267360687,-6.307419329881668
Tranches d'IRPP,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.8600002357921903,-1.9357810744670159,-7.077841,-69.445564,-11.438808679580688,-6.535403072834015
Aucun,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.9428581657748552,-0.9249318914320833,20.467285,-43.62678,-10.567466259002686,-4.1712257862091064
L IR  ET L IS,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.567081741126341,0.332628081733925,0.1866899,-49.242973,-10.010606050491333,-8.186544179916382
"Tous les impôts, taxes et cotisations qui ne correspondent plus à la raison qui est à l'origine de leur création.","aucun, mais réparti équitablement",3274,0.32390185991294024,0.33654710969189183,3.1552043349783134,-3.4785836,-10.507464,-8.921046882867813,-6.4829710721969604
"Tous, dont ceux que payent les entrepreneurs, qui travaillent plus que la moyenne et pourtant ne peut se verser un salaire en raison des charges incommensurables.","aucun, mais réparti équitablement",3274,0.32390185991294024,-0.13094315389984543,-0.36025194169693,-6.7709723,-14.521776,-8.71194538474083,-7.3362215757369995
Arrêter de baisser des impôts pour en augmenter d'autres : c'est prendre le citoyen pour un pigeon (voire un autre mot moins joli) Avant de baisser les recettes i faut baisser les dépenses : PRAGMATISME !!!,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.7200966833561816,-0.09647029304877747,-0.07101425,-28.215162,-9.134328052401543,-4.965445399284363
Aucun,"aucun, mais réparti équitablement",3274,0.32390185991294024,1.4132885409706841,-0.07633205976348906,21.514093,-42.371265,-10.518916010856628,-4.672258257865906
Il faut éviter de taxer plus les plus riches. Il est normal que les plus riches payent de l'impôt mais ils ne peuvent pas payer pour tout le monde,"aucun, mais réparti équitablement",3274,0.32390185991294024,1.3224697916253882,0.5794262956756525,-8.112865,-24.141949,-9.063196912407875,-5.686745315790176
aucun,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.6456335963964432,1.773161819789361,19.025837,-44.87317,-10.64901065826416,-4.87412703037262
Suppression des niches fiscales.,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.4882135682449626,-0.5781905941975661,6.40656,-0.068089396,-9.108321852982044,-5.374380946159363
Les impôts de production. (tout ce qui est prélevé chez les entreprises avant benefice) Les multiples taxes qui frappent les entreprises et compliquent leur fonctionnement.,"aucun, mais réparti équitablement",3274,0.32390185991294024,2.5110066348598843,1.9011719411604255,-21.855764,-24.01606,-9.091397181153297,-6.553436756134033
"Aucun, il suffit de les répartir plus justement afin d'améliorer le consentement à l'impôt","aucun, mais réparti équitablement",3274,0.32390185991294024,-0.24604376415185947,-0.760372276157878,10.992866,-25.643084,-8.13257908821106,-4.346179723739624
Toutes les taxations diverses et variées inventées au fil des années pour les entreprises. Elles sont chronophages et sont-elles rentables ? Equilibre des ressources utilisées et des recettes collectées. Quid des contrôles contre la fraude ?,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.4674011671046631,0.3655575162296658,-11.144192,-8.696048,-9.509824991226196,-6.597516775131226
Tous et aucuns il faut tout reprendre,"aucun, mais réparti équitablement",3274,0.32390185991294024,-1.026992267500369,-0.9643452109096097,4.7542834,-27.588184,-8.586444556713104,-5.3344860672950745
"Dans le cadre de la succession, l'abattement doit être lié à la valeur estimée du bien par région et non un abattement forfaitaire. Pour les personnes handicapées, l'abattement doit être de 100 % pour l'habitation principale.","aucun, mais réparti équitablement",3274,0.32390185991294024,0.5104618801375681,0.06995674544537193,2.141471,-13.664237,-9.157589375972748,-6.1597937643527985
"Dans l'état des finances publiques, il ne faut pas baisser les impôts, et bien faire remarquer aux français que services publiques et avantages sociaux ne peuvent pas se financer par la planche à billet.","aucun, mais réparti équitablement",3274,0.32390185991294024,-1.0891016683878045,0.6350751145826246,2.7074394,-22.897045,-9.44240215420723,-4.745218873023987
Droits de succession Revenus,"aucun, mais réparti équitablement",3274,0.32390185991294024,0.12053402396302602,-1.6684987210535456,-14.853394,-38.032875,-10.291639804840088,-7.335312128067017
