comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
non concerné,non concerné,590,0.0668328047122791,-2.0734393251239682,0.9245614925699203,-63.726868,-21.129301,-10.63395619392395,-5.921987056732178
non concerné,non concerné,590,0.0668328047122791,0.2942855538027976,-2.5752001598583125,-63.06158,-21.060188,-10.626916885375977,-5.9306455925107
non concerné,non concerné,590,0.0668328047122791,0.8540016032741907,-0.9837033524937009,-64.432144,-19.061222,-10.520283579826355,-5.998503498034552
Non concerné,non concerné,590,0.0668328047122791,0.38279710536945494,1.0123434076406124,-63.390537,-19.412586,-10.599457859992981,-6.002950484165922
non concerné,non concerné,590,0.0668328047122791,-0.3258228620327961,0.4304266189828869,-63.390537,-19.412586,-10.599385380744934,-5.986451446078718
Non concerné,non concerné,590,0.0668328047122791,-1.0865283909903949,0.06757225741424504,-62.393036,-18.541702,-10.599301815032959,-5.9862648621201515
Non concerné.,non concerné,590,0.0668328047122791,-0.9051304052100485,0.7415639415371957,-63.390537,-19.412586,-10.583029747009277,-5.9723625387996435
Non concerné,non concerné,590,0.0668328047122791,2.318926697658149,0.1988197158155594,-63.651974,-18.483912,-10.583029747009277,-5.9723625387996435
non concerné,non concerné,590,0.0668328047122791,0.11410958825994597,1.4891153811615618,-62.258507,-19.09449,-10.583282709121704,-5.9724190309643745
non concerné,non concerné,590,0.0668328047122791,0.8529106390730822,0.7219360504535902,-62.258507,-19.09449,-10.582980990409851,-5.972354324534535
Non concerné,non concerné,590,0.0668328047122791,0.3283351193657905,0.0038806579998919306,-62.41904,-18.535316,-10.599612355232239,-6.002523732371628
Non concerné.,non concerné,590,0.0668328047122791,0.18750705227692724,-0.9762236254314881,-63.026115,-18.368343,-10.565057039260864,-5.973756251856685
Non concerné,non concerné,590,0.0668328047122791,0.5744175664287522,0.004321494413105816,-62.337738,-19.64497,-10.564390420913696,-5.974145783111453
Non concerné,non concerné,590,0.0668328047122791,1.7316730856269145,0.7338424371725911,-63.390537,-19.412586,-10.599552631378174,-6.003026465186849
Non concerné,non concerné,590,0.0668328047122791,0.5152985087333092,0.6852512894822648,-62.84515,-20.09536,-10.583029508590698,-5.9723625387996435
non concerné,non concerné,590,0.0668328047122791,-2.151943865202065,-0.2986400671993845,-62.84515,-20.09536,-10.56230354309082,-5.975277820602059
Non concerné,non concerné,590,0.0668328047122791,0.5083795683544546,1.2238434572283852,-62.52356,-17.833147,-10.55039930343628,-6.036655645817518
Non concerné,non concerné,590,0.0668328047122791,0.385643836488711,1.0247505142440052,-63.390537,-19.412586,-10.569900751113892,-6.016595849767327
